,index,geo_index,height_mean,height_std,area_mean,area_std,Site,Year,0
5129,3090,733000_4708000,19.10962481348195,6.066753382952725,22.982125418433913,22.340633115671828,HARV,2018,18181
5130,3091,733000_4710000,18.54853850135073,4.395983720964034,21.030963958160786,19.012644434049648,HARV,2018,28689
5131,3091,733000_4710000,18.54853850135073,4.395983720964034,21.030963958160786,19.012644434049648,HARV,2019,31158
5132,3092,733000_4713000,17.227254528390432,4.702469100944629,22.439332106957576,21.598013871618434,HARV,2019,29802
5133,3092,733000_4713000,17.227254528390432,4.702469100944629,22.439332106957576,21.598013871618434,HARV,2018,27273
5134,3093,733000_4714000,17.754723946496554,4.593633064961366,22.5254550360332,21.231775490857,HARV,2019,31812
5135,3093,733000_4714000,17.754723946496554,4.593633064961366,22.5254550360332,21.231775490857,HARV,2018,29348
5136,3094,733000_4715000,17.84948561919813,3.8862898956910223,22.791229292056386,21.3918333551666,HARV,2018,35424
5137,3094,733000_4715000,17.84948561919813,3.8862898956910223,22.791229292056386,21.3918333551666,HARV,2019,36227
5138,3095,733000_4717000,15.804845763843877,4.3920719065890665,21.403028035430232,21.310268012676776,HARV,2019,27929
5139,3096,734000_2006000,11.859023488851822,4.739593087246408,11.410710712176838,11.561333204124548,GUIL,2018,40776
5140,3097,734000_2009000,11.730572826939834,5.358212764913885,17.310686585911473,14.590484062376548,GUIL,2018,28649
5141,3098,734000_2010000,12.24689809666396,5.659420393297999,14.433513022982396,13.373811117098187,GUIL,2018,31406
5142,3099,734000_3459000,10.047671825319194,4.557079726992729,23.06912359549064,21.57774539509548,JERC,2018,7565
5143,3100,734000_3461000,13.502799714236478,6.402697835426211,28.492130073330486,25.280923856263524,JERC,2019,13369
5144,3100,734000_3461000,13.502799714236478,6.402697835426211,28.492130073330486,25.280923856263524,JERC,2018,17306
5145,3101,734000_3462000,14.630765030768874,6.26243788898296,30.555096514128536,26.509125960503553,JERC,2019,14405
5146,3101,734000_3462000,14.630765030768874,6.26243788898296,30.555096514128536,26.509125960503553,JERC,2018,17352
5147,3102,734000_3465000,11.64328921970475,4.306435619529129,21.127018343634326,18.75580722284735,JERC,2019,4443
5148,3102,734000_3465000,11.64328921970475,4.306435619529129,21.127018343634326,18.75580722284735,JERC,2018,4770
5149,3103,734000_3467000,14.235028147982906,6.617377178772405,32.68477432296217,26.54117267150392,JERC,2018,2457
5150,3103,734000_3467000,14.235028147982906,6.617377178772405,32.68477432296217,26.54117267150392,JERC,2019,1531
5151,3104,734000_4696000,14.331152315277533,6.086056110720134,21.841281472741215,20.471342708539193,HARV,2019,25260
5152,3105,734000_4697000,16.71073940134455,5.48854687878219,21.159516737823097,19.391002378170466,HARV,2018,23433
5153,3105,734000_4697000,16.71073940134455,5.48854687878219,21.159516737823097,19.391002378170466,HARV,2019,25319
5154,3106,734000_4699000,16.819425290336437,5.862617084082882,21.42278406312808,21.225041714620833,HARV,2019,25301
5155,3106,734000_4699000,16.819425290336437,5.862617084082882,21.42278406312808,21.225041714620833,HARV,2018,23667
5156,3107,734000_4701000,16.413772426171636,5.149733778794253,19.54846479929556,18.058309586682636,HARV,2018,25364
5157,3107,734000_4701000,16.413772426171636,5.149733778794253,19.54846479929556,18.058309586682636,HARV,2019,27007
5158,3108,734000_4702000,18.989841381772116,4.233112238563697,21.502373191159588,20.73763034230211,HARV,2019,34666
5159,3108,734000_4702000,18.989841381772116,4.233112238563697,21.502373191159588,20.73763034230211,HARV,2018,32640
5160,3109,734000_4704000,18.90002786424672,3.110176392285966,19.436878754210348,17.10993687979754,HARV,2018,40030
5161,3109,734000_4704000,18.90002786424672,3.110176392285966,19.436878754210348,17.10993687979754,HARV,2019,41713
5162,3110,734000_4705000,18.918629961969483,3.639140828320389,21.42215591680714,20.375042068977795,HARV,2019,37030
5163,3110,734000_4705000,18.918629961969483,3.639140828320389,21.42215591680714,20.375042068977795,HARV,2018,34893
5164,3111,734000_4706000,17.921434756046335,4.670694791694769,22.111047422209253,21.301470806235802,HARV,2019,31984
5165,3111,734000_4706000,17.921434756046335,4.670694791694769,22.111047422209253,21.301470806235802,HARV,2018,29443
5166,3112,734000_4708000,18.81222574209703,4.7222041462192,22.89098077811724,21.78223467257154,HARV,2018,24901
5167,3112,734000_4708000,18.81222574209703,4.7222041462192,22.89098077811724,21.78223467257154,HARV,2019,27435
5168,3113,734000_4710000,16.891327482164424,3.4329883846624,18.62771796729187,16.015026344996933,HARV,2019,37923
5169,3113,734000_4710000,16.891327482164424,3.4329883846624,18.62771796729187,16.015026344996933,HARV,2018,35494
5170,3114,734000_4711000,17.459199363630315,4.02585211574044,20.348800280477153,19.38005573731718,HARV,2019,36614
5171,3114,734000_4711000,17.459199363630315,4.02585211574044,20.348800280477153,19.38005573731718,HARV,2018,34711
5172,3115,734000_4712000,17.700455709163556,3.4294903822147704,20.172581066635303,19.147752366621567,HARV,2018,33432
5173,3115,734000_4712000,17.700455709163556,3.4294903822147704,20.172581066635303,19.147752366621567,HARV,2019,35462
5174,3116,734000_4714000,16.765070421797443,5.189152383177565,24.911754100282515,24.693914518031804,HARV,2019,28903
5175,3116,734000_4714000,16.765070421797443,5.189152383177565,24.911754100282515,24.693914518031804,HARV,2018,24509
5176,3117,734000_4715000,17.019913370125177,4.6751807716014095,22.532508769555697,20.787957825292683,HARV,2018,25687
5177,3117,734000_4715000,17.019913370125177,4.6751807716014095,22.532508769555697,20.787957825292683,HARV,2019,31899
5178,3118,735000_2008000,9.423423460806728,4.80315191618793,17.49218734855494,15.344396331282494,GUIL,2018,26827
5179,3119,735000_2009000,10.057854246999133,5.097033472192362,18.306747066482945,15.790011305833522,GUIL,2018,24544
5180,3120,735000_2010000,10.442494924679671,5.346355963624479,15.754588968232945,14.688089032587127,GUIL,2018,26324
5181,3121,735000_2011000,8.935109165389667,4.841230905099997,15.725834308550777,14.440273361992015,GUIL,2018,20508
5182,3122,735000_3460000,15.022983811775735,6.155756590044346,32.68364267178582,27.37982650101598,JERC,2019,6949
5183,3122,735000_3460000,15.022983811775735,6.155756590044346,32.68364267178582,27.37982650101598,JERC,2018,9624
5184,3123,735000_3462000,14.550344496347956,5.998271394438549,29.62669495694999,26.278720333120685,JERC,2019,16066
5185,3123,735000_3462000,14.550344496347956,5.998271394438549,29.62669495694999,26.278720333120685,JERC,2018,18457
5186,3124,735000_3463000,13.772587313673801,5.651262811053187,28.526718519108563,25.894802866086053,JERC,2018,19148
5187,3124,735000_3463000,13.772587313673801,5.651262811053187,28.526718519108563,25.894802866086053,JERC,2019,16723
5188,3125,735000_3466000,9.90628062402992,4.675297757255182,26.087212977482704,28.446770365043296,JERC,2019,4503
5189,3125,735000_3466000,9.90628062402992,4.675297757255182,26.087212977482704,28.446770365043296,JERC,2018,5052
5190,3126,735000_4702000,18.461267225894865,3.614095483869195,21.553255925551667,19.146108223963516,HARV,2018,27066
5191,3126,735000_4702000,18.461267225894865,3.614095483869195,21.553255925551667,19.146108223963516,HARV,2019,37570
5192,3127,735000_4703000,17.585618151281007,4.476280764646132,20.560887546859735,17.961911423260876,HARV,2018,25884
