Site,geo_index,Year,0
OSBS,408000_3287000,2019,31236
WREF,576000_5078000,2018,26535
BART,320000_4882000,2019,29175
TEAK,315000_4099000,2019,22345
TEAK,320000_4098000,2018,19674
WREF,577000_5072000,2018,32576
WREF,590000_5076000,2018,27047
BONA,469000_7234000,2019,12075
WREF,588000_5075000,2018,19502
OSBS,403000_3285000,2019,31831
WREF,593000_5075000,2018,27985
OSBS,400000_3280000,2019,31557
OSBS,395000_3286000,2019,47137
TEAK,316000_4102000,2018,8485
OSBS,403000_3278000,2019,4485
SOAP,297000_4101000,2018,14652
WREF,573000_5075000,2018,29322
BONA,474000_7228000,2018,36996
WREF,588000_5078000,2019,36724
BART,321000_4880000,2018,43446
SOAP,301000_4097000,2018,7794
WREF,575000_5082000,2019,20800
OSBS,404000_3288000,2018,20687
BART,320000_4880000,2019,45478
TEAK,318000_4092000,2018,14864
OSBS,395000_3287000,2018,28147
BART,319000_4879000,2019,45754
BONA,473000_7224000,2019,20647
SOAP,301000_4100000,2018,19204
DELA,420000_3599000,2019,23333
WREF,579000_5079000,2019,26124
SOAP,302000_4104000,2019,19011
WREF,577000_5074000,2018,26261
BART,318000_4874000,2019,50476
BONA,476000_7231000,2018,35763
WREF,571000_5073000,2018,27692
WREF,576000_5082000,2018,19578
TEAK,317000_4101000,2018,11986
TEAK,317000_4097000,2018,15887
BONA,479000_7224000,2019,36018
SOAP,299000_4103000,2019,19333
WREF,573000_5078000,2018,32250
WREF,576000_5079000,2019,41553
WREF,571000_5079000,2018,32841
SOAP,295000_4101000,2018,16329
OSBS,395000_3282000,2018,4243
BONA,474000_7233000,2019,43368
BART,317000_4881000,2018,36529
SOAP,298000_4105000,2019,30605
WREF,579000_5074000,2019,33303
BONA,473000_7228000,2018,30201
BONA,475000_7229000,2018,61043
WREF,589000_5075000,2019,42931
BONA,472000_7230000,2018,38118
TEAK,316000_4097000,2018,16394
BONA,471000_7224000,2019,83318
TEAK,315000_4099000,2018,16727
BONA,475000_7224000,2018,34832
BONA,478000_7229000,2019,65652
OSBS,400000_3280000,2018,21261
DELA,420000_3597000,2018,11764
TEAK,314000_4100000,2018,16198
BONA,481000_7222000,2019,2753
DELA,426000_3597000,2019,19577
OSBS,405000_3279000,2018,27018
BART,321000_4874000,2018,31830
OSBS,405000_3277000,2019,28590
WREF,594000_5075000,2019,37419
BONA,469000_7233000,2018,46662
WREF,571000_5081000,2018,27605
BONA,470000_7224000,2019,35656
OSBS,403000_3279000,2018,1132
WREF,583000_5081000,2019,41494
BONA,477000_7222000,2018,10696
